conjunto,modelo_id,modelo,proveedor,publicacion,arnes,puntuacion,coste_por_tarea,coste_total
v1_Public_Eval,gpt-5-4-high,GPT-5.4 (High),OpenAI,2026-03-04,,0.9562,0.27,
v1_Public_Eval,grok-4.20-beta-0309b-reasoning,Grok 4.20 (Reasoning),xAI,2026-03-09,,0.955,0.24,
v1_Public_Eval,deepseek-v4-pro-0813-low,DeepSeek V4 Pro 0813 (Low),DeepSeek,2026-08-13,,0.955,0.1379545332,
v1_Public_Eval,anthropic-claude-fable-5-1-low,Claude Fable 5.1 (Low),Anthropic,2026-09-01,,0.955,0.28662135,
v1_Public_Eval,claude_sonnet_4_6_high,Claude Sonnet 4.6 (High),Anthropic,2026-02-17,,0.9525,0.8007,
v1_Public_Eval,google-gemini-3-7-flash-medium,Gemini 3.7 Flash (Medium),Google,2026-08-13,,0.9525,0.04618473000000001,
v1_Public_Eval,gpt-5-2-2025-12-11-thinking-xhigh,GPT-5.2 (XHigh),OpenAI,2025-12-11,,0.95,0.65,
v1_Public_Eval,moonshot-kimi-k3-max,Kimi K3 (Max),Moonshot AI,2026-07-16,,0.94875,0.5450828250000002,
v1_Public_Eval,claude-opus-4-6-thinking-120K-medium,"Claude Opus 4.6 (120K, Medium)",Anthropic,2026-02-05,,0.9475,0.6183,
v1_Public_Eval,xai-grok-4-5-high,Grok 4.5 (High),xAI,2026-07-16,,0.9475,0.24,
v1_Public_Eval,deepseek-v4-flash-0731-max,DeepSeek V4 Flash 0731 (Max),DeepSeek,2026-07-31,,0.9475,0.015125951425000006,
v1_Public_Eval,xai-grok-4-6-medium,Grok 4.6 (Medium),xAI,2026-08-11,,0.9475,0.20594313500000017,
v1_Public_Eval,gpt-5-2-pro-2025-12-11-high,GPT-5.2 Pro (High),OpenAI,2025-12-11,,0.9462,4.6384,
v1_Public_Eval,claude-4-7-low,Claude 4.7 (Low),Anthropic,2026-04-16,,0.945,0.48,
v1_Public_Eval,google-gemini-3-8-flash-low,Gemini 3.8 Flash (Low),Google,2026-09-02,,0.945,0.04600169250000004,
v1_Public_Eval,openai-gpt-5-6-sol-medium,GPT-5.6 Sol (Medium),OpenAI,2026-07-09,,0.9387,0.17,
v1_Public_Eval,deepseek-v4-pro-0813-max,DeepSeek V4 Pro 0813 (Max),DeepSeek,2026-08-13,,0.9325,0.23599243470000006,
v1_Public_Eval,openai-gpt-6-astra-none,GPT-6 Astra (None),OpenAI,2026-09-02,,0.93125,0.17569182499999994,
v1_Public_Eval,deepseek-v4-flash-0731-low,DeepSeek V4 Flash 0731 (Low),DeepSeek,2026-07-31,,0.93,0.009161565400000002,
v1_Public_Eval,moonshot-kimi-k3-high,Kimi K3 (High),Moonshot AI,2026-07-16,,0.92875,0.36425031000000013,
v1_Public_Eval,gemini-3-6-flash-medium,Gemini 3.6 Flash (Medium),Google,2026-07-21,,0.9275,0.18556269750000007,
v1_Public_Eval,deepseek-v4-pro-0813-high,DeepSeek V4 Pro 0813 (High),DeepSeek,2026-08-13,,0.9275,0.23387703900000015,
v1_Public_Eval,xai-grok-4-5-medium,Grok 4.5 (Medium),xAI,2026-07-16,,0.925,0.23,
v1_Public_Eval,deepseek-v4-flash-0731-high,DeepSeek V4 Flash 0731 (High),DeepSeek,2026-07-31,,0.925,0.016012147775000016,
v1_Public_Eval,openai-gpt-6-luna-max,GPT-6 Luna (Max),OpenAI,2026-09-22,,0.925,0.01291232625,
v1_Public_Eval,anthropic-claude-opus-5-5-low,Claude Opus 5.5 (Low),Anthropic,2026-09-22,,0.9225,0.09473719000000001,
v1_Public_Eval,gpt-5-4-medium,GPT-5.4 (Medium),OpenAI,2026-03-04,,0.92,0.21,
v1_Public_Eval,openai-gpt-5-6-luna-max-2026-07-30,GPT-5.6 Luna 2026-07-30 (Max),OpenAI,2026-07-30,,0.9125,0.041845892999999974,
v1_Public_Eval,google-gemini-3-7-flash-low,Gemini 3.7 Flash (Low),Google,2026-08-13,,0.9125,0.03375216749999999,
v1_Public_Eval,openai-gpt-5-6-luna-max,GPT-5.6 Luna (Max),OpenAI,2026-07-09,,0.9075,0.18,
v1_Public_Eval,thinky-inkling,Inkling,Thinking Machines,2026-07-15,,0.90625,0.21569280526315787,
v1_Public_Eval,gpt-5-2-2025-12-11-thinking-high,GPT-5.2 (High),OpenAI,2025-12-11,,0.9025,0.402,
v1_Public_Eval,gpt-5-2-pro-2025-12-11-medium,GPT-5.2 Pro (Medium),OpenAI,2025-12-11,,0.9025,3.2418,
v1_Public_Eval,openai-gpt-5-6-luna-xhigh,GPT-5.6 Luna (XHigh),OpenAI,2026-07-09,,0.9,0.13,
v1_Public_Eval,claude-opus-4-6-thinking-120K-low,"Claude Opus 4.6 (120K, Low)",Anthropic,2026-02-05,,0.896,0.4105,
v1_Public_Eval,thinky-inkling-small-xhigh,Inkling Small (XHigh),Thinking Machines,2026-07-30,,0.89375,0.08376425325000007,
v1_Public_Eval,gemini-3-flash-preview-thinking-high,Gemini 3 Flash Preview (High),Google,2025-12-17,,0.8833,0.1353,
v1_Public_Eval,openai-gpt-5-6-luna-xhigh-2026-07-30,GPT-5.6 Luna 2026-07-30 (XHigh),OpenAI,2026-07-30,,0.875,0.029353337999999996,
v1_Public_Eval,thinky-inkling-small-high,Inkling Small (High),Thinking Machines,2026-07-30,,0.86625,0.052885362000000005,
v1_Public_Eval,claude-opus-4-5-20251101-thinking-32k,"Opus 4.5 (Thinking, 32K)",Anthropic,2025-11-24,,0.8662,0.76,
v1_Public_Eval,xai-grok-4-5-low,Grok 4.5 (Low),xAI,2026-07-16,,0.86,0.13,
v1_Public_Eval,openai-gpt-6-luna-xhigh,GPT-6 Luna (XHigh),OpenAI,2026-09-22,,0.8575,0.00886935575,
v1_Public_Eval,openai-gpt-5-6-terra-medium,GPT-5.6 Terra (Medium),OpenAI,2026-07-09,,0.8475,0.1,
v1_Public_Eval,openai-gpt-5-6-sol-low,GPT-5.6 Sol (Low),OpenAI,2026-07-09,,0.845,0.14,
v1_Public_Eval,xai-grok-4-6-low,Grok 4.6 (Low),xAI,2026-08-11,,0.84,0.08439713000000007,
v1_Public_Eval,gpt-5-5-2026-04-22-thinking-low,GPT-5.5 (Low),OpenAI,2026-04-22,,0.8225,0.17,
v1_Public_Eval,claude-opus-4-5-20251101-thinking-16k,"Opus 4.5 (Thinking, 16K)",Anthropic,2025-11-24,,0.8161,0.52,
v1_Public_Eval,gemini-3-6-flash-low,Gemini 3.6 Flash (Low),Google,2026-07-21,,0.81375,0.09486675374999995,
v1_Public_Eval,openai-gpt-5-6-luna-high-2026-07-30,GPT-5.6 Luna 2026-07-30 (High),OpenAI,2026-07-30,,0.8075,0.019937271,
v1_Public_Eval,gpt-5-2-2025-12-11-thinking-medium,GPT-5.2 (Medium),OpenAI,2025-12-11,,0.8062,0.2777,
v1_Public_Eval,glm-5.2,GLM-5.2,Z.ai,2026-06-13,,0.80375,0.1747,
v1_Public_Eval,gpt-5-4-low,GPT-5.4 (Low),OpenAI,2026-03-04,,0.8,0.12,
v1_Public_Eval,openai-gpt-6-luna-high,GPT-6 Luna (High),OpenAI,2026-09-22,,0.7975,0.0076511982499999995,
v1_Public_Eval,openai-gpt-5-6-luna-high,GPT-5.6 Luna (High),OpenAI,2026-07-09,,0.7925,0.09,
v1_Public_Eval,thinky-inkling-small-medium,Inkling Small (Medium),Thinking Machines,2026-07-30,,0.7775,0.02800050299999998,
v1_Public_Eval,gpt-5-1-2025-11-13-thinking-high,"GPT-5.1 (Thinking, High)",OpenAI,2025-11-13,,0.7712,0.546,
v1_Public_Eval,gpt-5-pro-2025-10-06,GPT-5 Pro,OpenAI,2025-10-06,,0.77,4.0316,
v1_Public_Eval,moonshot-kimi-k3-low,Kimi K3 (Low),Moonshot AI,2026-07-16,,0.7575,0.16573716000000002,
v1_Public_Eval,gpt-5-4-mini-xhigh,GPT-5.4 Mini (XHigh),OpenAI,2026-03-17,,0.7512,0.35,
v1_Public_Eval,claude-sonnet-4-5-20250929-thinking-32k,Claude Sonnet 4.5 (Thinking 32K),Anthropic,2025-09-29,,0.7375,0.4419,
v1_Public_Eval,grok-4-0709,Grok 4 (Thinking),xAI,2025-07-09,,0.7374,0.8179,
v1_Public_Eval,kimi-k2.5,Kimi K2.5,Moonshot AI,2026-01-27,,0.7312,0.14,
v1_Public_Eval,openai-gpt-5-6-terra-low,GPT-5.6 Terra (Low),OpenAI,2026-07-09,,0.7075,0.08,
v1_Public_Eval,openai-gpt-6-luna-medium,GPT-6 Luna (Medium),OpenAI,2026-09-22,,0.70125,0.0050656270000000005,
v1_Public_Eval,claude-opus-4-5-20251101-thinking-8k,"Opus 4.5 (Thinking, 8K)",Anthropic,2025-11-24,,0.701,0.34,
v1_Public_Eval,gpt-5-1-2025-11-13-thinking-medium,"GPT-5.1 (Thinking, Medium)",OpenAI,2025-11-13,,0.6886,0.2563,
v1_Public_Eval,o4-mini-2025-04-16-high,o4-mini (High),OpenAI,2025-04-16,,0.6803,0.3246,
v1_Public_Eval,gemini-3-flash-preview-thinking-medium,Gemini 3 Flash Preview (Medium),Google,2025-12-17,,0.6791,0.0535,
v1_Public_Eval,gemini-3-5-flash-lite-high,Gemini 3.5 Flash-Lite (High),Google,2026-07-21,,0.66375,0.07732991824999999,
v1_Public_Eval,gpt-5-4-mini-high,GPT-5.4 Mini (High),OpenAI,2026-03-17,,0.6625,0.22,
v1_Public_Eval,thinky-inkling-small-low,Inkling Small (Low),Thinking Machines,2026-07-30,,0.66125,0.021636156000000007,
v1_Public_Eval,gpt-5-2-2025-12-11-thinking-low,GPT-5.2 (Low),OpenAI,2025-12-11,,0.6591,0.1338,
v1_Public_Eval,gpt-5-2025-08-07-high,GPT-5 (High),OpenAI,2025-08-07,,0.6588,0.3924,
v1_Public_Eval,openai-gpt-5-6-luna-medium,GPT-5.6 Luna (Medium),OpenAI,2026-07-09,,0.6438,0.05,
v1_Public_Eval,o3-2025-04-16-high,o3 (High),OpenAI,2025-04-16,,0.6425,0.4041,
v1_Public_Eval,openai-gpt-5-6-luna-medium-2026-07-30,GPT-5.6 Luna 2026-07-30 (Medium),OpenAI,2026-07-30,,0.63875,0.009549944999999999,
v1_Public_Eval,claude-sonnet-4-5-20250929-thinking-16k,Claude Sonnet 4.5 (Thinking 16K),Anthropic,2025-09-29,,0.6362,0.2423,
v1_Public_Eval,gpt-5-2025-08-07-medium,GPT-5 (Medium),OpenAI,2025-08-07,,0.634,0.2478,
v1_Public_Eval,o3-pro-2025-06-10-high,o3-Pro (High),OpenAI,2025-06-10,,0.6334,3.9228,
v1_Public_Eval,claude-haiku-4-5-20251001-thinking-32k,Claude Haiku 4.5 (Thinking 32K),Anthropic,2025-10-01,,0.6288,0.2139,
v1_Public_Eval,thinky-inkling-small-minimal,Inkling Small (Minimal),Thinking Machines,2026-07-30,,0.61625,0.02165799,
v1_Public_Eval,deepseek-v3.2,Deepseek V3.2,DeepSeek,2025-12-01,,0.6162,0.07,
v1_Public_Eval,gpt-5-mini-2025-08-07-high,GPT-5 Mini (High),OpenAI,2025-08-07,,0.6152,0.0936,
v1_Public_Eval,minimax-m2.5,Minimax M2.5,Minimax,2026-02-12,,0.5913,0.09,
v1_Public_Eval,glm-5,GLM-5,Z.ai,2026-02-20,,0.5863,0.14,
v1_Public_Eval,grok-4-fast-reasoning,Grok 4 (Fast Reasoning),xAI,2025-10-21,,0.5813,0.0278,
v1_Public_Eval,o3-pro-2025-06-10-medium,o3-Pro (Medium),OpenAI,2025-06-10,,0.5806,2.546,
v1_Public_Eval,gemini-3-5-flash-minimal,Gemini 3.5 Flash (Minimal),Google,2026-05-19,,0.58,0.055,
v1_Public_Eval,claude-sonnet-4-20250514-thinking-16k-bedrock,Claude Sonnet 4 (Thinking 16K),Anthropic,2025-05-14,,0.5675,0.322,
v1_Public_Eval,o3-2025-04-16-medium,o3 (Medium),OpenAI,2025-04-16,,0.5671,0.2613,
v1_Public_Eval,gemini-2-5-pro-2025-06-17-thinking-16k,Gemini 2.5 Pro (Thinking 16K),Google,2025-06-17,,0.5643,0.3964,
v1_Public_Eval,gemini-2-5-pro-2025-06-17-thinking-32k,Gemini 2.5 Pro (Thinking 32K),Google,2025-06-17,,0.5588,0.4164,
v1_Public_Eval,gpt-5-4-mini-medium,GPT-5.4 Mini (Medium),OpenAI,2026-03-17,,0.5538,0.14,
v1_Public_Eval,claude-opus-4-20250514-thinking-16k,Claude Opus 4 (Thinking 16K),Anthropic,2025-05-14,,0.5425,1.1405,
v1_Public_Eval,claude-sonnet-4-5-20250929-thinking-8k,Claude Sonnet 4.5 (Thinking 8K),Anthropic,2025-09-29,,0.535,0.1681,
v1_Public_Eval,claude-opus-4-5-20251101-thinking-none,"Opus 4.5 (Thinking, None)",Anthropic,2025-11-24,,0.5261,0.11,
v1_Public_Eval,gpt-5-4-nano-high,GPT-5.4 Nano (High),OpenAI,2026-03-17,,0.5162,0.06,
v1_Public_Eval,claude-haiku-4-5-20251001-thinking-16k,Claude Haiku 4.5 (Thinking 16K),Anthropic,2025-10-01,,0.5138,0.0979,
v1_Public_Eval,o3-pro-2025-06-10-low,o3-Pro (Low),OpenAI,2025-06-10,,0.5088,1.5093,
v1_Public_Eval,o4-mini-2025-04-16-medium,o4-mini (Medium),OpenAI,2025-04-16,,0.5025,0.129,
v1_Public_Eval,openai-gpt-5-6-luna-low-2026-07-30,GPT-5.6 Luna 2026-07-30 (Low),OpenAI,2026-07-30,,0.4925,0.006671390999999995,
v1_Public_Eval,claude-sonnet-4-20250514-thinking-8k-bedrock,Claude Sonnet 4 (Thinking 8K),Anthropic,2025-05-14,,0.4862,0.1936,
v1_Public_Eval,gpt-5-2025-08-07-low,GPT-5 (Low),OpenAI,2025-08-07,,0.4837,0.1296,
v1_Public_Eval,gpt-5-4-nano-xhigh,GPT-5.4 Nano (XHigh),OpenAI,2026-03-17,,0.4788,0.1,
v1_Public_Eval,o3-2025-04-16-low,o3 (Low),OpenAI,2025-04-16,,0.4761,0.1591,
v1_Public_Eval,openai-gpt-5-6-luna-low,GPT-5.6 Luna (Low),OpenAI,2026-07-09,,0.4738,0.03,
v1_Public_Eval,gemini-3-5-flash-lite-medium,Gemini 3.5 Flash-Lite (Medium),Google,2026-07-21,,0.47,0.030726074500000006,
v1_Public_Eval,o3-mini-2025-01-31-high,o3-mini (High),OpenAI,2025-01-31,,0.4658,0.3048,
v1_Public_Eval,openai-gpt-6-luna-low,GPT-6 Luna (Low),OpenAI,2026-09-22,,0.465,0.002682557,
v1_Public_Eval,gpt-5-mini-2025-08-07-medium,GPT-5 Mini (Medium),OpenAI,2025-08-07,,0.4625,0.039,
v1_Public_Eval,claude-opus-4-20250514-thinking-8k,Claude Opus 4 (Thinking 8K),Anthropic,2025-05-14,,0.4562,0.7817,
v1_Public_Eval,claude-haiku-4-5-20251001-thinking-8k,Claude Haiku 4.5 (Thinking 8K),Anthropic,2025-10-01,,0.45,0.0644,
v1_Public_Eval,gemini-2-5-pro-2025-06-17-thinking-8k,Gemini 2.5 Pro (Thinking 8K),Google,2025-06-17,,0.4419,0.2605,
v1_Public_Eval,trm-2025-10-07,Tiny Recursion Model (TRM),bespoke,2025-10-07,,0.44,0.39465,
v1_Public_Eval,gpt-5-1-2025-11-13-thinking-low,"GPT-5.1 (Thinking, Low)",OpenAI,2025-11-13,,0.44,0.0929,
v1_Public_Eval,gpt-5-4-nano-medium,GPT-5.4 Nano (Medium),OpenAI,2026-03-17,,0.4338,0.04,
v1_Public_Eval,claude-opus-4-20250514-thinking-1k,Claude Opus 4 (Thinking 1K),Anthropic,2025-05-14,,0.4331,0.4236,
v1_Public_Eval,gemini-3-6-flash-minimal,Gemini 3.6 Flash (Minimal),Google,2026-07-21,,0.4325,0.03383501625,
v1_Public_Eval,gemini-2-5-flash-preview-05-20-thinking-24k,Gemini 2.5 Flash (Preview) (Thinking 24K),Google,2025-05-20,,0.3912,0.1858,
v1_Public_Eval,gemini-3-flash-preview-thinking-low,Gemini 3 Flash Preview (Low),Google,2025-12-17,,0.3816,0.0154,
v1_Public_Eval,claude-sonnet-4-5-20250929-thinking-1k,Claude Sonnet 4.5 (Thinking 1K),Anthropic,2025-09-29,,0.3662,0.0823,
v1_Public_Eval,gemini-2-5-flash-preview-05-20,Gemini 2.5 Flash (Preview),Google,2025-05-20,,0.363,0.033,
v1_Public_Eval,gemini-2-5-flash-preview-05-20-thinking-16k,Gemini 2.5 Flash (Preview) (Thinking 16K),Google,2025-05-20,,0.36,0.1846,
v1_Public_Eval,claude-opus-4-20250514,Claude Opus 4,Anthropic,2025-05-14,,0.355,0.3485,
v1_Public_Eval,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,Anthropic,2025-09-29,,0.3538,0.0691,
v1_Public_Eval,gemini-2-5-flash-preview-05-20-thinking-8k,Gemini 2.5 Flash (Preview) (Thinking 8K),Google,2025-05-20,,0.3453,0.1158,
v1_Public_Eval,codex-mini-latest,Codex Mini (Latest),OpenAI,2025-05-23,,0.3338,0.1269,
v1_Public_Eval,claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,2025-05-14,,0.33,0.0696,
v1_Public_Eval,gemini-3-flash-preview-thinking-minimal,Gemini 3 Flash Preview (Minimal),Google,2025-12-17,,0.3187,0.0105,
v1_Public_Eval,gpt-5-4-mini-low,GPT-5.4 Mini (Low),OpenAI,2026-03-17,,0.3175,0.03,
v1_Public_Eval,claude-sonnet-4-20250514-thinking-1k,Claude Sonnet 4 (Thinking 1K),Anthropic,2025-05-14,,0.313,0.0811,
v1_Public_Eval,o3-mini-2025-01-31-medium,o3-mini (Medium),OpenAI,2025-01-31,,0.3063,0.165,
v1_Public_Eval,gpt-5-nano-2025-08-07-high,GPT-5 Nano (High),OpenAI,2025-08-07,,0.2967,0.0245,
v1_Public_Eval,o4-mini-2025-04-16-low,o4-mini (Low),OpenAI,2025-04-16,,0.2762,0.0359,
v1_Public_Eval,claude-haiku-4-5-20251001-thinking-1k,Claude Haiku 4.5 (Thinking 1K),Anthropic,2025-10-01,,0.2712,0.0268,
v1_Public_Eval,deepseek_r1_0528-openrouter,Deepseek R1 (05/28),DeepSeek,2025-05-28,,0.2698,0.047,
v1_Public_Eval,claude-haiku-4-5-20251001,Claude Haiku 4.5,Anthropic,2025-10-01,,0.2662,0.0223,
v1_Public_Eval,gemini-3-5-flash-lite-low,Gemini 3.5 Flash-Lite (Low),Google,2026-07-21,,0.24625,0.010003799500000006,
v1_Public_Eval,gpt-5-4-nano-low,GPT-5.4 Nano (Low),OpenAI,2026-03-17,,0.2462,0.01,
v1_Public_Eval,gpt-5-mini-2025-08-07-low,GPT-5 Mini (Low),OpenAI,2025-08-07,,0.2438,0.0136,
v1_Public_Eval,deepseek-v4-pro-0813-none,DeepSeek V4 Pro 0813 (None),DeepSeek,2026-08-13,,0.2225,0.01926467069999999,
v1_Public_Eval,gpt-5-nano-2025-08-07-medium,GPT-5 Nano (Medium),OpenAI,2025-08-07,,0.2082,0.0119,
v1_Public_Eval,deepseek-v4-flash-0731-none,DeepSeek V4 Flash 0731 (None),DeepSeek,2026-07-31,,0.1925,0.0017226313000000015,
v1_Public_Eval,gemini-2-5-flash-preview-05-20-thinking-1k,Gemini 2.5 Flash (Preview) (Thinking 1K),Google,2025-05-20,,0.1796,0.0231,
v1_Public_Eval,grok-3-mini-beta-low-openrouter,Grok 3 Mini (Low),xAI,2025-02-19,,0.1762,0.0087,
v1_Public_Eval,gemini-2-5-pro-2025-06-17-thinking-1k,Gemini 2.5 Pro (Thinking 1K),Google,2025-06-17,,0.175,0.048,
v1_Public_Eval,o3-mini-2025-01-31-low,o3-mini (Low),OpenAI,2025-01-31,,0.1738,0.0442,
v1_Public_Eval,qwen3-235b-a22b-instruct-2507,Qwen3-235b-a22b Instruct (25/07),Alibaba,2025-07-25,,0.17,0.0021,
v1_Public_Eval,gpt-5-2-2025-12-11-thinking-none,GPT-5.2,OpenAI,2025-12-11,,0.165,0.0385,
v1_Public_Eval,gemini-3-5-flash-lite-minimal,Gemini 3.5 Flash-Lite (Minimal),Google,2026-07-21,,0.155,0.006791787000000004,
v1_Public_Eval,openai-gpt-5-6-luna-none-2026-07-30,GPT-5.6 Luna 2026-07-30 (None),OpenAI,2026-07-30,,0.14125,0.003822444000000002,
v1_Public_Eval,o1-mini-2024-09-12,o1-mini,OpenAI,2024-09-12,,0.1316,0.1239,
v1_Public_Eval,openai-gpt-6-luna-none,GPT-6 Luna (None),OpenAI,2026-09-22,,0.12625,0.0017532695000000002,
v1_Public_Eval,gpt-5-1-2025-11-13-thinking-none,"GPT-5.1 (Thinking, None)",OpenAI,2025-11-13,,0.1238,0.0275,
v1_Public_Eval,gpt-5-nano-2025-08-07-low,GPT-5 Nano (Low),OpenAI,2025-08-07,,0.1181,0.0031,
v1_Public_Eval,gpt-4-1-2025-04-14,GPT-4.1,OpenAI,2025-04-14,,0.1175,0.032,
v1_Public_Eval,gpt-5-2025-08-07-minimal,GPT-5 (Minimal),OpenAI,2025-08-07,,0.1115,0.0244,
v1_Public_Eval,thinky-inkling-small-none,Inkling Small (None),Thinking Machines,2026-07-30,,0.11125,0.005578305000000001,
v1_Public_Eval,magistral-medium-2506,Magistral Medium,Mistral,2025-06-10,,0.089,0.1069,
