modelo,publicacion,publico,semiprivado,hueco_pp
GPT-5 Mini (High),2025-08-07,0.0583,0.0444,1.39
GPT-5 Mini (Medium),2025-08-07,0.0056,0.0403,-3.47
GPT-5 Nano (High),2025-08-07,0.003,0.0261,-2.31
GPT-5 (Low),2025-08-07,0.025,0.0194,0.56
GPT-5 (Low),2025-08-07,0.025,0.0194,0.56
GPT-5 Mini (Minimal),2025-08-07,0,0.0167,-1.67
GPT-5 Nano (Medium),2025-08-07,0,0.0088,-0.88
GPT-5 Mini (Low),2025-08-07,0.0028,0.0083,-0.55
GPT-5 (Minimal),2025-08-07,0,0,0
GPT-5 Nano (Low),2025-08-07,0,0,0
GPT-5 Nano (Minimal),2025-08-07,0,0,0
Claude Sonnet 4.5 (Thinking 32K),2025-09-29,0.1472,0.1361,1.11
Claude Sonnet 4.5 (Thinking 8K),2025-09-29,0.0486,0.0694,-2.08
Claude Sonnet 4.5 (Thinking 16K),2025-09-29,0.0653,0.0694,-0.41
Claude Sonnet 4.5 (Thinking 1K),2025-09-29,0.0208,0.0583,-3.75
Claude Sonnet 4.5,2025-09-29,0.0375,0.0375,0.0
Claude Haiku 4.5 (Thinking 32K),2025-10-01,0.0514,0.0403,1.11
Claude Haiku 4.5 (Thinking 16K),2025-10-01,0.0417,0.0278,1.39
Claude Haiku 4.5 (Thinking 8K),2025-10-01,0.0208,0.0167,0.41
Claude Haiku 4.5,2025-10-01,0,0.0125,-1.25
Claude Haiku 4.5 (Thinking 1K),2025-10-01,0,0.0125,-1.25
GPT-5 Pro,2025-10-06,0.1333,0.1833,-5.0
Tiny Recursion Model (TRM),2025-10-07,0.05,0.0625,-1.25
Grok 4 (Fast Reasoning),2025-10-21,0.0458,0.0528,-0.7
"GPT-5.1 (Thinking, High)",2025-11-13,0.1833,0.1764,0.69
"GPT-5.1 (Thinking, Medium)",2025-11-13,0.084,0.0653,1.87
"GPT-5.1 (Thinking, Low)",2025-11-13,0.0222,0.0194,0.28
"GPT-5.1 (Thinking, None)",2025-11-13,0,0.0042,-0.42
"Opus 4.5 (Thinking, 16K)",2025-11-24,0.2417,0.2278,1.39
"Opus 4.5 (Thinking, 8K)",2025-11-24,0.1042,0.1389,-3.47
"Opus 4.5 (Thinking, None)",2025-11-24,0.0708,0.0778,-0.7
Deepseek V3.2,2025-12-01,0.0389,0.0403,-0.14
GPT-5.2 Pro (High),2025-12-11,0.5168,0.5416,-2.48
GPT-5.2 (XHigh),2025-12-11,0.5981,0.5291,6.9
GPT-5.2 (High),2025-12-11,0.3992,0.4333,-3.41
GPT-5.2 Pro (Medium),2025-12-11,0.3792,0.3847,-0.55
GPT-5.2 (Medium),2025-12-11,0.2764,0.2667,0.97
GPT-5.2 (Low),2025-12-11,0.0833,0.0972,-1.39
GPT-5.2,2025-12-11,0,0.0083,-0.83
Gemini 3 Flash Preview (High),2025-12-17,0.3403,0.3361,0.42
Gemini 3 Flash Preview (Medium),2025-12-17,0.1528,0.1278,2.5
Gemini 3 Flash Preview (Minimal),2025-12-17,0.0208,0.0333,-1.25
Gemini 3 Flash Preview (Low),2025-12-17,0.0125,0.0125,0.0
Kimi K2.5,2026-01-27,0.1208,0.1181,0.27
"Claude Opus 4.6 (120K, High)",2026-02-05,0.7903,0.6917,9.86
"Claude Opus 4.6 (120K, Max)",2026-02-05,0.7485,0.6875,6.1
"Claude Opus 4.6 (120K, Medium)",2026-02-05,0.7361,0.6625,7.36
"Claude Opus 4.6 (120K, Low)",2026-02-05,0.5986,0.6458,-4.72
Minimax M2.5,2026-02-12,0.0542,0.0486,0.56
Claude Sonnet 4.6 (High),2026-02-17,0.6569,0.6042,5.27
Claude Sonnet 4.6 (Max),2026-02-17,0.6236,0.5833,4.03
Gemini 3.1 Pro (Preview),2026-02-19,0.8807,0.7708,10.99
GLM-5,2026-02-20,0.0542,0.0486,0.56
GPT-5.4 Pro (XHigh),2026-03-04,0.9221,0.8333,8.88
GPT-5.4 (XHigh),2026-03-04,0.8417,0.7395,10.22
GPT-5.4 (High),2026-03-04,0.7583,0.675,8.33
GPT-5.4 (Medium),2026-03-04,0.5819,0.5542,2.77
GPT-5.4 (Low),2026-03-04,0.2319,0.2917,-5.98
Grok 4.20 (Reasoning),2026-03-09,0.6361,0.6514,-1.53
GPT-5.4 Mini (XHigh),2026-03-17,0.1778,0.189,-1.12
GPT-5.4 Mini (High),2026-03-17,0.0701,0.1319,-6.18
GPT-5.4 Nano (XHigh),2026-03-17,0.0417,0.0569,-1.52
GPT-5.4 Mini (Medium),2026-03-17,0.0542,0.0444,0.98
GPT-5.4 Nano (High),2026-03-17,0.0514,0.0361,1.53
GPT-5.4 Nano (Medium),2026-03-17,0.0347,0.0194,1.53
GPT-5.4 Nano (Low),2026-03-17,0,0.0153,-1.53
GPT-5.4 Mini (Low),2026-03-17,0.0083,0.0111,-0.28
Claude 4.7 (Max),2026-04-16,0.8223,0.7583,6.4
Claude 4.7 (High),2026-04-16,0.8069,0.6833,12.36
Claude 4.7 (Medium),2026-04-16,0.8194,0.675,14.44
Claude 4.7 (Low),2026-04-16,0.7157,0.6208,9.49
GPT-5.5 (XHigh),2026-04-22,0.9056,0.85,5.56
GPT-5.5 (High),2026-04-22,0.8222,0.8333,-1.11
GPT-5.5 (Medium),2026-04-22,0.7069,0.7042,0.27
GPT-5.5 (Low),2026-04-22,0.3431,0.3333,0.98
GPT-5.5 Pro (High),2026-04-23,0.9014,0.8458,5.56
GPT-5.5 Pro (XHigh),2026-04-23,0.9042,0.8416,6.26
Gemini 3.5 Flash (High),2026-05-19,0.7208,0.7208,0.0
Gemini 3.5 Flash (Minimal),2026-05-19,0.0917,0.0889,0.28
Claude Fable 5 (Max),2026-06-09,0.9638888888888889,0.8916666666666667,7.22
Claude Fable 5 (XHigh),2026-06-09,0.9333333333333333,0.8833333333333333,5.0
Claude Fable 5 (High),2026-06-09,0.9388888888888889,0.875,6.39
Claude Fable 5 (Medium),2026-06-09,0.875,0.825,5.0
Claude Fable 5 (Low),2026-06-09,0.8041666666666667,0.7680555555555555,3.61
GLM-5.2,2026-06-13,0.2083,0.22775,-1.94
GPT-5.6 Sol (Max),2026-07-09,0.9375,0.925,1.25
GPT-5.6 Sol (XHigh),2026-07-09,0.9194,0.9,1.94
GPT-5.6 Sol (High),2026-07-09,0.8611,0.8542,0.69
GPT-5.6 Terra (Max),2026-07-09,0.9132,0.839,7.42
GPT-5.6 Terra (XHigh),2026-07-09,0.8264,0.7417,8.47
GPT-5.6 Sol (Medium),2026-07-09,0.7069,0.6708,3.61
GPT-5.6 Terra (High),2026-07-09,0.7389,0.6708,6.81
GPT-5.6 Luna (Max),2026-07-09,0.6017,0.5954,0.63
GPT-5.6 Luna (XHigh),2026-07-09,0.5139,0.4764,3.75
GPT-5.6 Sol (Low),2026-07-09,0.3847,0.425,-4.03
GPT-5.6 Terra (Medium),2026-07-09,0.3889,0.375,1.39
GPT-5.6 Luna (High),2026-07-09,0.3014,0.2931,0.83
GPT-5.6 Terra (Low),2026-07-09,0.1486,0.1875,-3.89
GPT-5.6 Luna (Medium),2026-07-09,0.0764,0.0736,0.28
GPT-5.6 Luna (Low),2026-07-09,0.0278,0.0514,-2.36
Inkling,2026-07-15,0.37777777777777777,0.36527777777777776,1.25
Kimi K3 (Max),2026-07-16,0.6166666666666667,0.6041666666666666,1.25
Kimi K3 (High),2026-07-16,0.5319444444444444,0.55,-1.81
Grok 4.5 (High),2026-07-16,0.5819,0.5264,5.55
Grok 4.5 (Medium),2026-07-16,0.575,0.5264,4.86
Grok 4.5 (Low),2026-07-16,0.3625,0.3306,3.19
Kimi K3 (Low),2026-07-16,0.1611111111111111,0.12361111111111112,3.75
Gemini 3.6 Flash (High),2026-07-21,0.6527777777777778,0.6041666666666666,4.86
Gemini 3.6 Flash (Medium),2026-07-21,0.5652777777777778,0.5041666666666667,6.11
Gemini 3.6 Flash (Low),2026-07-21,0.3111111111111111,0.30416666666666664,0.69
Gemini 3.5 Flash-Lite (High),2026-07-21,0.07916666666666666,0.10277777777777779,-2.36
Gemini 3.5 Flash-Lite (Medium),2026-07-21,0.01944444444444444,0.05277777777777778,-3.33
Gemini 3.6 Flash (Minimal),2026-07-21,0.03472222222222222,0.02638888888888889,0.83
Gemini 3.5 Flash-Lite (Low),2026-07-21,0,0.015277777777777777,-1.53
Gemini 3.5 Flash-Lite (Minimal),2026-07-21,0,0.008333333333333333,-0.83
Claude Opus 5 (Max),2026-07-24,0.9706,0.9042,6.64
Claude Opus 5 (High),2026-07-24,0.9319,0.8833,4.86
GPT-5.6 Luna 2026-07-30 (Max),2026-07-30,0.6416666666666667,0.5958333333333333,4.58
GPT-5.6 Luna 2026-07-30 (XHigh),2026-07-30,0.5208333333333334,0.4347222222222222,8.61
Inkling Small (XHigh),2026-07-30,0.39305555555555555,0.40138888888888885,-0.83
GPT-5.6 Luna 2026-07-30 (High),2026-07-30,0.3472222222222222,0.3333333333333333,1.39
Inkling Small (High),2026-07-30,0.2569444444444444,0.33055555555555555,-7.36
Inkling Small (Medium),2026-07-30,0.1361111111111111,0.13611111111111113,-0.0
GPT-5.6 Luna 2026-07-30 (Medium),2026-07-30,0.07361111111111111,0.0736111111111111,0.0
Inkling Small (Low),2026-07-30,0.06388888888888888,0.04861111111111112,1.53
Inkling Small (Minimal),2026-07-30,0.029166666666666664,0.04027777777777777,-1.11
GPT-5.6 Luna 2026-07-30 (Low),2026-07-30,0.04027777777777777,0.03611111111111111,0.42
GPT-5.6 Luna 2026-07-30 (None),2026-07-30,0,0.008333333333333333,-0.83
Inkling Small (None),2026-07-30,0,0,0
DeepSeek V4 Flash 0731 (Max),2026-07-31,0.638888888888889,0.6138888888888888,2.5
DeepSeek V4 Flash 0731 (High),2026-07-31,0.5986111111111111,0.5597222222222221,3.89
DeepSeek V4 Flash 0731 (Low),2026-07-31,0.47361111111111115,0.4597222222222222,1.39
DeepSeek V4 Flash 0731 (None),2026-07-31,0,0.020833333333333332,-2.08
Grok 4.6 (XHigh),2026-08-11,0.6833333333333333,0.6708333333333333,1.25
Grok 4.6 (High),2026-08-11,0.6833333333333333,0.6513888888888888,3.19
Grok 4.6 (Medium),2026-08-11,0.673611111111111,0.6125,6.11
Grok 4.6 (Low),2026-08-11,0.3625,0.2763888888888889,8.61
Gemini 3.7 Flash (High),2026-08-13,0.8527777777777777,0.8458333333333333,0.69
Gemini 3.7 Flash (Medium),2026-08-13,0.6861111111111111,0.6375,4.86
DeepSeek V4 Pro 0813 (Max),2026-08-13,0.5944444444444444,0.6125,-1.81
DeepSeek V4 Pro 0813 (High),2026-08-13,0.6361111111111111,0.5972222222222221,3.89
DeepSeek V4 Pro 0813 (Low),2026-08-13,0.5888888888888889,0.5625,2.64
Gemini 3.7 Flash (Low),2026-08-13,0.5472222222222223,0.5291666666666667,1.81
DeepSeek V4 Pro 0813 (None),2026-08-13,0.0125,0.008333333333333333,0.42
Claude Fable 5.1 (Max),2026-09-01,0.9833333333333333,0.9,8.33
Claude Fable 5.1 (XHigh),2026-09-01,0.9916666666666667,0.9,9.17
Claude Fable 5.1 (High),2026-09-01,0.9472222222222223,0.8875,5.97
Claude Fable 5.1 (Medium),2026-09-01,0.875,0.8625,1.25
Claude Fable 5.1 (Low),2026-09-01,0.8597222222222223,0.7833333333333333,7.64
GPT-6 Astra (Max),2026-09-02,0.975,0.95,2.5
GPT-6 Astra (XHigh),2026-09-02,0.9791666666666666,0.9333333333333333,4.58
GPT-6 Astra (High),2026-09-02,0.9791666666666666,0.9208333333333333,5.83
GPT-6 Astra (Medium),2026-09-02,0.9666666666666667,0.9208333333333333,4.58
Gemini 3.8 Flash (High),2026-09-02,0.925,0.8916666666666667,3.33
GPT-6 Astra (Low),2026-09-02,0.9416666666666667,0.8541666666666666,8.75
Gemini 3.8 Flash (Medium),2026-09-02,0.875,0.8291666666666667,4.58
Gemini 3.8 Flash (Low),2026-09-02,0.7722222222222223,0.775,-0.28
GPT-6 Astra (None),2026-09-02,0.648611111111111,0.5958333333333333,5.28
Claude Opus 5.5 (High),2026-09-22,0.9347222222222222,0.9333333333333333,0.14
Claude Opus 5.5 (XHigh),2026-09-22,0.976388888888889,0.925,5.14
Claude Opus 5.5 (Max),2026-09-22,0.9791666666666666,0.9166666666666666,6.25
Claude Opus 5.5 (Medium),2026-09-22,0.9347222222222222,0.875,5.97
Claude Opus 5.5 (Low),2026-09-22,0.6777777777777777,0.701388888888889,-2.36
GPT-6 Luna (Max),2026-09-22,0.6180555555555556,0.5930555555555556,2.5
GPT-6 Luna (XHigh),2026-09-22,0.35138888888888886,0.41944444444444445,-6.81
GPT-6 Luna (High),2026-09-22,0.3194444444444445,0.3138888888888889,0.56
GPT-6 Luna (Medium),2026-09-22,0.19166666666666668,0.18055555555555555,1.11
GPT-6 Luna (Low),2026-09-22,0.008333333333333333,0.04583333333333333,-3.75
GPT-6 Luna (None),2026-09-22,0.0,0.0,0.0
